gene_name,entrezgene_id,padj,Log2FC,absLogFC
GVQW3,100506127,0.155398871,0.127851565,0.127851565
PIKFYVE,200576,8.1e-05,-0.127854028,0.127854028
PDPR,55066,0.156460433,-0.127894277,0.127894277
NBDY,550643,0.001689782,-0.128068478,0.128068478
PET100,100131801,0.016924705,0.128093864,0.128093864
RILPL2,196383,0.009624907,0.128207389,0.128207389
HIF1A,3091,0.178091731,0.128268649,0.128268649
ADCYAP1,116,0.555846713,-0.128275453,0.128275453
LIPE-AS1,100996307,0.261981703,-0.128352361,0.128352361
XRCC3,7517,0.028764955,0.128397177,0.128397177
FXR2,9513,0.001168793,-0.128445032,0.128445032
TRAF3,7187,0.017379071,0.128519209,0.128519209
ZCCHC24,219654,0.101331207,0.128532379,0.128532379
LDHAL6B,92483,0.13475446,0.128569742,0.128569742
NQO1,1728,0.259675915,0.128679814,0.128679814
OGFOD3,79701,0.003614295,-0.128683706,0.128683706
PAIP1,10605,0.002592307,0.128720192,0.128720192
SMTN,6525,0.176702025,-0.128736624,0.128736624
TUT4,23318,0.000442233,0.128746342,0.128746342
SRF,6722,0.235945087,-0.128766898,0.128766898
DNAJC8,22826,0.00084188,0.12880412,0.12880412
UCHL5,51377,0.003056816,0.128828665,0.128828665
TM2D2,83877,0.008980573,-0.128941057,0.128941057
ZNF883,169834,0.347949938,-0.129014511,0.129014511
CRTAP,10491,0.011631862,0.129040374,0.129040374
TMEM128,85013,0.003024441,-0.129080613,0.129080613
TMPO-AS1,100128191,0.122231412,0.129130424,0.129130424
SUN2,25777,0.008268967,0.129141693,0.129141693
C14orf28,122525,0.027333229,0.12916477,0.12916477
ZNF280B,140883,0.426461194,0.129259582,0.129259582
TTC33,23548,0.003441259,0.129267737,0.129267737
CPSF1,29894,0.055211929,-0.129270061,0.129270061
SEC24B,10427,8.39e-06,0.129277966,0.129277966
RARB,5915,0.184996715,-0.129332658,0.129332658
DNAJC24,120526,6.5e-05,0.12934236,0.12934236
AURKC,6795,0.196813779,0.129391229,0.129391229
LAMTOR2,28956,0.025214116,0.129403269,0.129403269
LMO2,4005,0.109405309,0.129523915,0.129523915
FASTKD1,79675,0.012272462,-0.129545413,0.129545413
RAB43,339122,0.13750705,-0.129631011,0.129631011
STYXL1,51657,0.028711519,0.129634279,0.129634279
GPR162,27239,0.167916813,-0.129645032,0.129645032
YIPF3,25844,0.005575497,0.129658956,0.129658956
AGT,183,0.533387546,0.129698437,0.129698437
TVP23C,201158,0.015701137,-0.129748444,0.129748444
PBXIP1,57326,0.003389768,0.129749174,0.129749174
CAPN10,11132,0.002980388,-0.12979933,0.12979933
PRH1,5554,0.011444365,0.1298221,0.1298221
CCDC78,124093,0.260174213,0.12982225,0.12982225
NSD2,7468,0.00193605,0.129850237,0.129850237
SPRYD3,84926,0.002723378,-0.129894889,0.129894889
IL6R-AS1,101928101,0.331159431,0.129935886,0.129935886
EXOC5,10640,0.010214647,0.129959035,0.129959035
POC1B,282809,0.000213047,0.130010114,0.130010114
PSME3IP1,80011,0.000538561,0.130054596,0.130054596
CMPK1,51727,0.01199617,0.130067098,0.130067098
HMGN1,3150,0.000381365,0.130126647,0.130126647
MYO15A,51168,0.252759918,0.130178958,0.130178958
ZNF829,374899,0.065353219,0.13022058,0.13022058
CDC42EP3,10602,0.109038012,-0.130240919,0.130240919
PCDHA13,56136,0.457406122,-0.130258075,0.130258075
OR2AG2,338755,0.395485824,0.130312393,0.130312393
SHANK3,85358,0.217092147,0.130320494,0.130320494
PACSIN2,11252,0.007799557,-0.130405772,0.130405772
CCDC122,160857,0.037154769,0.13058723,0.13058723
RCE1,9986,0.00503648,-0.130591899,0.130591899
FAM218A,152756,0.384448831,0.130599352,0.130599352
