gene_name,entrezgene_id,padj,Diff
ADGRG3,222487,6.75e-45,-1.854685296
ADGRG4,139378,2.15e-13,-5.47693454
ADGRG5,221188,2.82e-33,-1.822431691
ADGRG6,57211,8.93e-06,-4.325344618
ADGRG7,84873,1.21e-08,-4.766837773
ADGRL1,22859,5.71e-08,-1.56106248
ADGRL3,23284,1.41e-09,-5.424408111
ADGRL4,64123,0.015367698,-0.307026122
ADGRV1,84059,5.66e-16,-6.987002485
ADH1A,124,1.69e-41,-2.098611187
ADH1B,125,0.011602087,-0.312285554
ADH1C,126,0.000768657,2.544163453
ADH6,130,0.003743161,-0.323096105
ADH7,131,2.28e-23,-1.633896365
ADHFE1,137872,4.49e-23,-2.40380811
ADIG,149685,1.77e-16,-1.034205394
ADIPOQ,9370,1.64e-10,-0.807604952
ADIPOQ-AS1,100874095,0.040600299,0.103103654
ADIPOR2,79602,2.15e-18,0.871309923
ADIRF,10974,5.39e-13,-0.676122505
ADM,133,6.85e-32,-1.284541109
ADM2,79924,1.43e-27,-0.787416088
ADM5,199800,1.11e-09,0.758810374
ADNP,23394,0.024384568,0.90389902
ADNP-AS1,101927631,0.003895421,-0.273725987
ADO,84890,1.44e-39,1.25266908
ADORA1,134,6.04e-35,-1.21041604
ADORA2A,135,2.91e-32,-1.594928994
ADORA2A-AS1,646023,1.43e-15,-2.300828714
ADORA3,140,1.15e-24,-1.12393071
ADPGK,83440,1.66e-32,-1.51577938
ADPGK-AS1,100287559,5.26e-36,-1.168693419
ADPRH,141,5.88e-05,-2.18751352
ADPRM,56985,4.91e-23,-1.39505421
ADRA1B,147,1.86e-24,-2.198808281
ADRA2A,150,1.57e-21,1.016959064
ADRA2C,152,9.27e-11,1.197089226
ADRB1,153,1.15e-28,1.734194174
ADRB3,155,0.001709535,2.984548097
ADRM1,11047,3.76e-12,-0.982377051
ADTRP,84830,1.8e-18,-6.754318971
AEBP1,165,1.06e-19,-0.680598094
AEBP2,121536,1.86e-26,1.31610687
AFAP1-AS1,84740,9.32e-14,-0.667199623
AFAP1L1,134265,4.63e-06,-1.92572868
AFF1,4299,1.84e-26,2.4910301
AFF2,2334,9.82e-05,-2.919527764
AFF3,3899,5.96e-07,-3.390216546
AFF4,27125,4.39e-29,-2.497520535
AFG3L1P,172,2e-09,-0.644136721
AFG3L2,10939,4.62e-12,0.888597998
AFM,173,2.29e-07,5.36305607
AFMID,125061,1.3e-33,-0.881531438
AFTPH,54812,2.21e-26,-2.330664624
AGA,175,0.003635136,0.481001004
AGAP1,116987,2.52e-22,-4.748499228
AGAP1-IT1,100506749,3.18e-07,-0.685295844
AGAP2,116986,1.94e-23,2.121677856
AGAP2-AS1,100130776,0.020905655,0.407815874
AGAP5,729092,5.38e-07,-0.563731527
AGBL1,123624,2.55e-08,-2.778188787
AGBL1-AS1,727915,2.13e-14,-0.738265196
AGBL2,79841,4.18e-19,-1.12356256
AGBL3,340351,1.78e-14,-0.697304979
AGBL5,60509,7.39e-15,-0.773917536
AGER,177,1.39e-17,1.272141399
AGFG1,3267,0.000856871,3.222288063
AGGF1,55109,5.58e-08,-0.41461288
AGK,55750,5.23e-10,5.366067459
AGL,178,7.46e-30,1.2981545
AGMAT,79814,0.007161999,-2.636817787
AGMO,392636,4.8e-17,-7.001039159
AGO1,26523,8.51e-17,-0.789588408
AGO2,27161,3.33e-50,-2.671511031
AGO3,192669,3.99e-40,-2.53055734
AGO4,192670,1.85e-08,-0.604212199
AGPAT3,56894,4.91e-29,2.72541858
AGPAT4,56895,6.16e-09,-2.57390982
